"","parameter","Value","Std. Error","p value","Odds","antibiotic","bacteria"
"572","key_sourcegastro",0.131,0.215,0.54,1.14,"meropenem vaborbactam","Escherichia coli"
"573","key_sourcerespiratory",0.405,0.174,0.02,1.499,"meropenem vaborbactam","Escherichia coli"
"574","key_sourceurine",0.478,0.15,0.001,1.612,"meropenem vaborbactam","Escherichia coli"
"575","key_sourcewound",0.153,0.175,0.38,1.166,"meropenem vaborbactam","Escherichia coli"
"576","year_scaled",-0.02,0.089,0.823,0.98,"meropenem vaborbactam","Escherichia coli"
"577","age_group0 to 2 Years",-0.308,0.036,0,0.735,"minocycline","Escherichia coli"
"578","age_group3 to 12 Years",-0.225,0.04,0,0.799,"minocycline","Escherichia coli"
"579","age_group13 to 18 Years",-0.214,0.053,0,0.807,"minocycline","Escherichia coli"
"580","age_group65 to 84 Years",-0.031,0.016,0.059,0.97,"minocycline","Escherichia coli"
"581","age_group85 and Over",-0.128,0.026,0,0.88,"minocycline","Escherichia coli"
"582","genderm",0.186,0.015,0,1.204,"minocycline","Escherichia coli"
"583","key_sourceblood",-0.059,0.021,0.005,0.943,"minocycline","Escherichia coli"
"584","key_sourcegastro",-0.028,0.036,0.439,0.972,"minocycline","Escherichia coli"
"585","key_sourcerespiratory",0.069,0.028,0.013,1.072,"minocycline","Escherichia coli"
"586","key_sourceurine",0.078,0.022,0.001,1.081,"minocycline","Escherichia coli"
"587","key_sourcewound",0.058,0.027,0.034,1.06,"minocycline","Escherichia coli"
"588","year_scaled",-0.068,0.002,0,0.935,"minocycline","Escherichia coli"
"589","age_group0 to 2 Years",-0.242,0.081,0.003,0.785,"omadacycline","Escherichia coli"
"590","age_group3 to 12 Years",-0.247,0.08,0.002,0.781,"omadacycline","Escherichia coli"
"591","age_group13 to 18 Years",-0.206,0.107,0.054,0.814,"omadacycline","Escherichia coli"
"592","age_group65 to 84 Years",0.123,0.039,0.002,1.13,"omadacycline","Escherichia coli"
"593","age_group85 and Over",0.147,0.061,0.016,1.159,"omadacycline","Escherichia coli"
"594","genderm",0.204,0.036,0,1.226,"omadacycline","Escherichia coli"
"595","key_sourceblood",0.152,0.056,0.007,1.164,"omadacycline","Escherichia coli"
"596","key_sourcegastro",-0.039,0.149,0.793,0.962,"omadacycline","Escherichia coli"
"597","key_sourcerespiratory",0.323,0.067,0,1.381,"omadacycline","Escherichia coli"
"598","key_sourceurine",0.2,0.057,0,1.221,"omadacycline","Escherichia coli"
"599","key_sourcewound",0.275,0.065,0,1.316,"omadacycline","Escherichia coli"
"600","year_scaled",-0.074,0.011,0,0.929,"omadacycline","Escherichia coli"
"601","age_group0 to 2 Years",-0.241,0.025,0,0.786,"piperacillin tazobactam","Escherichia coli"
"602","age_group3 to 12 Years",-0.203,0.028,0,0.817,"piperacillin tazobactam","Escherichia coli"
"603","age_group13 to 18 Years",-0.209,0.036,0,0.812,"piperacillin tazobactam","Escherichia coli"
"604","age_group65 to 84 Years",0.032,0.012,0.005,1.033,"piperacillin tazobactam","Escherichia coli"
"605","age_group85 and Over",-0.027,0.019,0.145,0.973,"piperacillin tazobactam","Escherichia coli"
"606","genderm",0.193,0.011,0,1.213,"piperacillin tazobactam","Escherichia coli"
"607","key_sourceblood",-0.206,0.016,0,0.814,"piperacillin tazobactam","Escherichia coli"
"608","key_sourcegastro",0.133,0.023,0,1.142,"piperacillin tazobactam","Escherichia coli"
"609","key_sourcerespiratory",0.284,0.019,0,1.328,"piperacillin tazobactam","Escherichia coli"
"610","key_sourceurine",0.093,0.016,0,1.097,"piperacillin tazobactam","Escherichia coli"
"611","key_sourcewound",0.061,0.018,0.001,1.063,"piperacillin tazobactam","Escherichia coli"
"612","year_scaled",0.072,0.001,0,1.075,"piperacillin tazobactam","Escherichia coli"
"613","age_group0 to 2 Years",-0.167,0.077,0.029,0.846,"tetracycline","Escherichia coli"
"614","age_group3 to 12 Years",-0.302,0.076,0,0.739,"tetracycline","Escherichia coli"
"615","age_group13 to 18 Years",-0.235,0.101,0.021,0.791,"tetracycline","Escherichia coli"
"616","age_group65 to 84 Years",0.051,0.037,0.175,1.052,"tetracycline","Escherichia coli"
"617","age_group85 and Over",-0.08,0.059,0.179,0.923,"tetracycline","Escherichia coli"
"618","genderm",0.211,0.035,0,1.234,"tetracycline","Escherichia coli"
"619","key_sourceblood",0.135,0.054,0.012,1.145,"tetracycline","Escherichia coli"
"620","key_sourcegastro",-0.168,0.139,0.228,0.846,"tetracycline","Escherichia coli"
"621","key_sourcerespiratory",0.242,0.065,0,1.274,"tetracycline","Escherichia coli"
"622","key_sourceurine",0.109,0.055,0.048,1.115,"tetracycline","Escherichia coli"
"623","key_sourcewound",0.163,0.063,0.009,1.178,"tetracycline","Escherichia coli"
"624","year_scaled",-0.101,0.011,0,0.904,"tetracycline","Escherichia coli"
"625","age_group0 to 2 Years",-0.249,0.027,0,0.78,"tigecycline","Escherichia coli"
"626","age_group3 to 12 Years",-0.126,0.03,0,0.882,"tigecycline","Escherichia coli"
"627","age_group13 to 18 Years",-0.054,0.039,0.167,0.947,"tigecycline","Escherichia coli"
"628","age_group65 to 84 Years",0.029,0.012,0.018,1.029,"tigecycline","Escherichia coli"
"629","age_group85 and Over",-0.03,0.02,0.13,0.97,"tigecycline","Escherichia coli"
"630","genderm",0.125,0.011,0,1.133,"tigecycline","Escherichia coli"
"631","key_sourceblood",-0.258,0.017,0,0.773,"tigecycline","Escherichia coli"
"632","key_sourcegastro",0.05,0.025,0.046,1.051,"tigecycline","Escherichia coli"
"633","key_sourcerespiratory",0.048,0.021,0.019,1.049,"tigecycline","Escherichia coli"
"634","key_sourceurine",0.035,0.017,0.037,1.035,"tigecycline","Escherichia coli"
"635","key_sourcewound",0.06,0.019,0.002,1.062,"tigecycline","Escherichia coli"
"636","year_scaled",-0.019,0.001,0,0.981,"tigecycline","Escherichia coli"
"637","age_group0 to 2 Years",-0.165,0.045,0,0.848,"trimethoprim sulfa","Escherichia coli"
"638","age_group3 to 12 Years",-0.26,0.051,0,0.771,"trimethoprim sulfa","Escherichia coli"
"639","age_group13 to 18 Years",-0.163,0.066,0.014,0.85,"trimethoprim sulfa","Escherichia coli"
"640","age_group65 to 84 Years",-0.115,0.021,0,0.892,"trimethoprim sulfa","Escherichia coli"
"641","age_group85 and Over",-0.281,0.034,0,0.755,"trimethoprim sulfa","Escherichia coli"
"642","genderm",0.239,0.019,0,1.27,"trimethoprim sulfa","Escherichia coli"
"643","key_sourceblood",0.871,0.029,0,2.389,"trimethoprim sulfa","Escherichia coli"
"644","key_sourcegastro",0.924,0.047,0,2.521,"trimethoprim sulfa","Escherichia coli"
"645","key_sourcerespiratory",0.755,0.037,0,2.127,"trimethoprim sulfa","Escherichia coli"
"646","key_sourceurine",0.962,0.03,0,2.616,"trimethoprim sulfa","Escherichia coli"
"647","key_sourcewound",0.817,0.035,0,2.264,"trimethoprim sulfa","Escherichia coli"
"648","year_scaled",0.194,0.006,0,1.214,"trimethoprim sulfa","Escherichia coli"
"649","age_group0 to 2 Years",-0.212,0.025,0,0.809,"amoxycillin clavulanate","Staphylococcus aureus"
"650","age_group3 to 12 Years",-0.229,0.025,0,0.795,"amoxycillin clavulanate","Staphylococcus aureus"
"651","age_group13 to 18 Years",-0.208,0.031,0,0.812,"amoxycillin clavulanate","Staphylococcus aureus"
"652","age_group65 to 84 Years",0.207,0.013,0,1.23,"amoxycillin clavulanate","Staphylococcus aureus"
"653","age_group85 and Over",0.403,0.023,0,1.497,"amoxycillin clavulanate","Staphylococcus aureus"
"654","genderm",0.086,0.011,0,1.09,"amoxycillin clavulanate","Staphylococcus aureus"
"655","key_sourceblood",-0.081,0.02,0,0.922,"amoxycillin clavulanate","Staphylococcus aureus"
"656","key_sourcegastro",0.127,0.027,0,1.136,"amoxycillin clavulanate","Staphylococcus aureus"
"657","key_sourcerespiratory",0.374,0.018,0,1.454,"amoxycillin clavulanate","Staphylococcus aureus"
"658","key_sourceurine",0.342,0.034,0,1.408,"amoxycillin clavulanate","Staphylococcus aureus"
"659","key_sourcewound",0.28,0.017,0,1.323,"amoxycillin clavulanate","Staphylococcus aureus"
"660","year_scaled",0.029,0.002,0,1.03,"amoxycillin clavulanate","Staphylococcus aureus"
"661","age_group0 to 2 Years",0.058,0.022,0.01,1.059,"ampicillin","Staphylococcus aureus"
"662","age_group3 to 12 Years",0.06,0.023,0.008,1.062,"ampicillin","Staphylococcus aureus"
"663","age_group13 to 18 Years",0.035,0.028,0.208,1.036,"ampicillin","Staphylococcus aureus"
"664","age_group65 to 84 Years",-0.016,0.011,0.157,0.984,"ampicillin","Staphylococcus aureus"
"665","age_group85 and Over",0.028,0.019,0.151,1.028,"ampicillin","Staphylococcus aureus"
"666","genderm",0.009,0.01,0.328,1.01,"ampicillin","Staphylococcus aureus"
"667","key_sourceblood",0.268,0.019,0,1.307,"ampicillin","Staphylococcus aureus"
"668","key_sourcegastro",0.381,0.027,0,1.463,"ampicillin","Staphylococcus aureus"
"669","key_sourcerespiratory",-0.141,0.017,0,0.869,"ampicillin","Staphylococcus aureus"
"670","key_sourceurine",-0.227,0.03,0,0.797,"ampicillin","Staphylococcus aureus"
"671","key_sourcewound",-0.218,0.016,0,0.804,"ampicillin","Staphylococcus aureus"
"672","year_scaled",-0.086,0.001,0,0.918,"ampicillin","Staphylococcus aureus"
"673","age_group0 to 2 Years",-0.016,0.042,0.695,0.984,"ampicillin sulbactam","Staphylococcus aureus"
"674","age_group3 to 12 Years",-0.076,0.043,0.074,0.927,"ampicillin sulbactam","Staphylococcus aureus"
"675","age_group13 to 18 Years",-0.067,0.055,0.219,0.935,"ampicillin sulbactam","Staphylococcus aureus"
"676","age_group65 to 84 Years",-0.01,0.023,0.649,0.99,"ampicillin sulbactam","Staphylococcus aureus"
"677","age_group85 and Over",-0.023,0.042,0.574,0.977,"ampicillin sulbactam","Staphylococcus aureus"
"678","genderm",0.019,0.02,0.343,1.019,"ampicillin sulbactam","Staphylococcus aureus"
"679","key_sourceblood",-0.099,0.041,0.017,0.906,"ampicillin sulbactam","Staphylococcus aureus"
"680","key_sourcegastro",0.042,0.072,0.563,1.043,"ampicillin sulbactam","Staphylococcus aureus"
"681","key_sourcerespiratory",-0.011,0.041,0.79,0.989,"ampicillin sulbactam","Staphylococcus aureus"
"682","key_sourceurine",0.027,0.071,0.702,1.027,"ampicillin sulbactam","Staphylococcus aureus"
"683","key_sourcewound",-0.069,0.039,0.082,0.934,"ampicillin sulbactam","Staphylococcus aureus"
"684","year_scaled",-0.248,0.009,0,0.781,"ampicillin sulbactam","Staphylococcus aureus"
"685","age_group0 to 2 Years",-0.228,0.028,0,0.796,"ceftaroline","Staphylococcus aureus"
"686","age_group3 to 12 Years",-0.325,0.029,0,0.723,"ceftaroline","Staphylococcus aureus"
"687","age_group13 to 18 Years",-0.263,0.036,0,0.768,"ceftaroline","Staphylococcus aureus"
"688","age_group65 to 84 Years",0.213,0.014,0,1.237,"ceftaroline","Staphylococcus aureus"
"689","age_group85 and Over",0.326,0.024,0,1.386,"ceftaroline","Staphylococcus aureus"
"690","genderm",0.08,0.012,0,1.083,"ceftaroline","Staphylococcus aureus"
"691","key_sourceblood",-0.054,0.027,0.048,0.948,"ceftaroline","Staphylococcus aureus"
"692","key_sourcegastro",0.069,0.045,0.12,1.072,"ceftaroline","Staphylococcus aureus"
"693","key_sourcerespiratory",0.282,0.024,0,1.326,"ceftaroline","Staphylococcus aureus"
"694","key_sourceurine",0.116,0.038,0.002,1.123,"ceftaroline","Staphylococcus aureus"
"695","key_sourcewound",-0.047,0.022,0.036,0.955,"ceftaroline","Staphylococcus aureus"
"696","year_scaled",-0.106,0.002,0,0.899,"ceftaroline","Staphylococcus aureus"
"697","age_group0 to 2 Years",-0.342,0.051,0,0.71,"ceftaroline avibactam","Staphylococcus aureus"
"698","age_group3 to 12 Years",-0.382,0.051,0,0.683,"ceftaroline avibactam","Staphylococcus aureus"
"699","age_group13 to 18 Years",-0.382,0.06,0,0.682,"ceftaroline avibactam","Staphylococcus aureus"
"700","age_group65 to 84 Years",0.326,0.024,0,1.385,"ceftaroline avibactam","Staphylococcus aureus"
"701","age_group85 and Over",0.489,0.042,0,1.631,"ceftaroline avibactam","Staphylococcus aureus"
"702","genderm",0.146,0.021,0,1.157,"ceftaroline avibactam","Staphylococcus aureus"
"703","key_sourceblood",-0.043,0.069,0.539,0.958,"ceftaroline avibactam","Staphylococcus aureus"
"704","key_sourcegastro",0.152,0.074,0.041,1.164,"ceftaroline avibactam","Staphylococcus aureus"
"705","key_sourcerespiratory",0.424,0.038,0,1.527,"ceftaroline avibactam","Staphylococcus aureus"
"706","key_sourceurine",0.073,0.06,0.227,1.076,"ceftaroline avibactam","Staphylococcus aureus"
"707","key_sourcewound",-0.043,0.034,0.217,0.958,"ceftaroline avibactam","Staphylococcus aureus"
"708","year_scaled",-0.026,0.013,0.05,0.974,"ceftaroline avibactam","Staphylococcus aureus"
"709","age_group0 to 2 Years",-0.195,0.038,0,0.823,"ceftazidime","Staphylococcus aureus"
"710","age_group3 to 12 Years",-0.319,0.038,0,0.727,"ceftazidime","Staphylococcus aureus"
"711","age_group13 to 18 Years",-0.265,0.046,0,0.767,"ceftazidime","Staphylococcus aureus"
"712","age_group65 to 84 Years",0.288,0.019,0,1.334,"ceftazidime","Staphylococcus aureus"
"713","age_group85 and Over",0.562,0.033,0,1.754,"ceftazidime","Staphylococcus aureus"
"714","genderm",0.098,0.016,0,1.103,"ceftazidime","Staphylococcus aureus"
"715","key_sourceblood",-0.048,0.041,0.243,0.953,"ceftazidime","Staphylococcus aureus"
"716","key_sourcegastro",0.029,0.058,0.609,1.03,"ceftazidime","Staphylococcus aureus"
"717","key_sourcerespiratory",0.15,0.029,0,1.162,"ceftazidime","Staphylococcus aureus"
"718","key_sourceurine",0.176,0.049,0,1.192,"ceftazidime","Staphylococcus aureus"
"719","key_sourcewound",0.034,0.028,0.215,1.035,"ceftazidime","Staphylococcus aureus"
"720","year_scaled",-0.1,0.005,0,0.904,"ceftazidime","Staphylococcus aureus"
"721","age_group0 to 2 Years",-0.203,0.038,0,0.817,"ceftazidime avibactam","Staphylococcus aureus"
"722","age_group3 to 12 Years",-0.305,0.038,0,0.737,"ceftazidime avibactam","Staphylococcus aureus"
"723","age_group13 to 18 Years",-0.267,0.046,0,0.766,"ceftazidime avibactam","Staphylococcus aureus"
"724","age_group65 to 84 Years",0.282,0.019,0,1.326,"ceftazidime avibactam","Staphylococcus aureus"
"725","age_group85 and Over",0.566,0.034,0,1.761,"ceftazidime avibactam","Staphylococcus aureus"
"726","genderm",0.094,0.016,0,1.099,"ceftazidime avibactam","Staphylococcus aureus"
"727","key_sourceblood",-0.044,0.041,0.287,0.957,"ceftazidime avibactam","Staphylococcus aureus"
"728","key_sourcegastro",0.021,0.058,0.723,1.021,"ceftazidime avibactam","Staphylococcus aureus"
"729","key_sourcerespiratory",0.156,0.03,0,1.169,"ceftazidime avibactam","Staphylococcus aureus"
"730","key_sourceurine",0.167,0.049,0.001,1.182,"ceftazidime avibactam","Staphylococcus aureus"
"731","key_sourcewound",0.029,0.028,0.29,1.03,"ceftazidime avibactam","Staphylococcus aureus"
"732","year_scaled",-0.101,0.005,0,0.904,"ceftazidime avibactam","Staphylococcus aureus"
"733","age_group0 to 2 Years",-0.27,0.025,0,0.763,"ceftriaxone","Staphylococcus aureus"
"734","age_group3 to 12 Years",-0.312,0.025,0,0.732,"ceftriaxone","Staphylococcus aureus"
"735","age_group13 to 18 Years",-0.28,0.031,0,0.755,"ceftriaxone","Staphylococcus aureus"
"736","age_group65 to 84 Years",0.264,0.013,0,1.303,"ceftriaxone","Staphylococcus aureus"
"737","age_group85 and Over",0.465,0.022,0,1.593,"ceftriaxone","Staphylococcus aureus"
"738","genderm",0.081,0.011,0,1.084,"ceftriaxone","Staphylococcus aureus"
"739","key_sourceblood",-0.152,0.021,0,0.859,"ceftriaxone","Staphylococcus aureus"
"740","key_sourcegastro",-0.019,0.028,0.491,0.981,"ceftriaxone","Staphylococcus aureus"
"741","key_sourcerespiratory",0.397,0.018,0,1.487,"ceftriaxone","Staphylococcus aureus"
"742","key_sourceurine",0.385,0.033,0,1.47,"ceftriaxone","Staphylococcus aureus"
"743","key_sourcewound",0.297,0.017,0,1.346,"ceftriaxone","Staphylococcus aureus"
"744","year_scaled",0.008,0.002,0,1.008,"ceftriaxone","Staphylococcus aureus"
"745","age_group0 to 2 Years",-0.291,0.031,0,0.748,"clindamycin","Staphylococcus aureus"
"746","age_group3 to 12 Years",-0.336,0.031,0,0.715,"clindamycin","Staphylococcus aureus"
"747","age_group13 to 18 Years",-0.201,0.039,0,0.818,"clindamycin","Staphylococcus aureus"
"748","age_group65 to 84 Years",0.167,0.015,0,1.181,"clindamycin","Staphylococcus aureus"
"749","age_group85 and Over",0.15,0.026,0,1.162,"clindamycin","Staphylococcus aureus"
"750","genderm",0.05,0.013,0,1.051,"clindamycin","Staphylococcus aureus"
"751","key_sourceblood",-0.048,0.029,0.101,0.953,"clindamycin","Staphylococcus aureus"
"752","key_sourcegastro",0.153,0.048,0.002,1.165,"clindamycin","Staphylococcus aureus"
"753","key_sourcerespiratory",0.339,0.025,0,1.403,"clindamycin","Staphylococcus aureus"
"754","key_sourceurine",0.081,0.042,0.056,1.084,"clindamycin","Staphylococcus aureus"
"755","key_sourcewound",-0.022,0.024,0.358,0.978,"clindamycin","Staphylococcus aureus"
"756","year_scaled",-0.075,0.002,0,0.928,"clindamycin","Staphylococcus aureus"
"757","age_group0 to 2 Years",-0.038,0.031,0.214,0.963,"daptomycin","Staphylococcus aureus"
"758","age_group3 to 12 Years",-0.042,0.031,0.185,0.959,"daptomycin","Staphylococcus aureus"
"759","age_group13 to 18 Years",-0.063,0.039,0.104,0.939,"daptomycin","Staphylococcus aureus"
"760","age_group65 to 84 Years",-0.046,0.015,0.002,0.955,"daptomycin","Staphylococcus aureus"
"761","age_group85 and Over",-0.091,0.026,0,0.913,"daptomycin","Staphylococcus aureus"
"762","genderm",0.004,0.013,0.784,1.004,"daptomycin","Staphylococcus aureus"
"763","key_sourceblood",0.16,0.029,0,1.174,"daptomycin","Staphylococcus aureus"
"764","key_sourcegastro",0.182,0.048,0,1.2,"daptomycin","Staphylococcus aureus"
"765","key_sourcerespiratory",0.154,0.025,0,1.167,"daptomycin","Staphylococcus aureus"
"766","key_sourceurine",-0.023,0.042,0.578,0.977,"daptomycin","Staphylococcus aureus"
"767","key_sourcewound",0.114,0.024,0,1.121,"daptomycin","Staphylococcus aureus"
"768","year_scaled",-0.338,0.003,0,0.713,"daptomycin","Staphylococcus aureus"
"769","age_group0 to 2 Years",-0.326,0.034,0,0.722,"doripenem","Staphylococcus aureus"
"770","age_group3 to 12 Years",-0.38,0.035,0,0.684,"doripenem","Staphylococcus aureus"
"771","age_group13 to 18 Years",-0.325,0.042,0,0.723,"doripenem","Staphylococcus aureus"
"772","age_group65 to 84 Years",0.34,0.017,0,1.406,"doripenem","Staphylococcus aureus"
"773","age_group85 and Over",0.52,0.029,0,1.682,"doripenem","Staphylococcus aureus"
"774","genderm",0.115,0.015,0,1.122,"doripenem","Staphylococcus aureus"
"775","key_sourceblood",0.099,0.038,0.009,1.104,"doripenem","Staphylococcus aureus"
"776","key_sourcegastro",0.141,0.053,0.008,1.152,"doripenem","Staphylococcus aureus"
"777","key_sourcerespiratory",0.35,0.027,0,1.42,"doripenem","Staphylococcus aureus"
"778","key_sourceurine",0.176,0.043,0,1.193,"doripenem","Staphylococcus aureus"
"779","key_sourcewound",-0.003,0.025,0.896,0.997,"doripenem","Staphylococcus aureus"
"780","year_scaled",-0.145,0.005,0,0.865,"doripenem","Staphylococcus aureus"
"781","age_group0 to 2 Years",-0.118,0.057,0.038,0.889,"doxycycline","Staphylococcus aureus"
"782","age_group3 to 12 Years",-0.149,0.06,0.014,0.862,"doxycycline","Staphylococcus aureus"
"783","age_group13 to 18 Years",-0.073,0.077,0.343,0.93,"doxycycline","Staphylococcus aureus"
"784","age_group65 to 84 Years",0.211,0.037,0,1.235,"doxycycline","Staphylococcus aureus"
"785","age_group85 and Over",0.126,0.075,0.093,1.134,"doxycycline","Staphylococcus aureus"
"786","genderm",0.024,0.031,0.445,1.024,"doxycycline","Staphylococcus aureus"
"787","key_sourceblood",0.014,0.054,0.799,1.014,"doxycycline","Staphylococcus aureus"
"788","key_sourcegastro",0.352,0.384,0.359,1.422,"doxycycline","Staphylococcus aureus"
"789","key_sourcerespiratory",0.117,0.048,0.016,1.124,"doxycycline","Staphylococcus aureus"
"790","key_sourceurine",0.133,0.184,0.471,1.142,"doxycycline","Staphylococcus aureus"
"791","key_sourcewound",0.043,0.045,0.336,1.044,"doxycycline","Staphylococcus aureus"
"792","year_scaled",0.013,0.007,0.072,1.013,"doxycycline","Staphylococcus aureus"
"793","age_group0 to 2 Years",-0.174,0.066,0.008,0.84,"ertapenem","Staphylococcus aureus"
"794","age_group3 to 12 Years",-0.373,0.064,0,0.688,"ertapenem","Staphylococcus aureus"
"795","age_group13 to 18 Years",-0.416,0.076,0,0.66,"ertapenem","Staphylococcus aureus"
"796","age_group65 to 84 Years",0.259,0.031,0,1.296,"ertapenem","Staphylococcus aureus"
"797","age_group85 and Over",0.515,0.058,0,1.674,"ertapenem","Staphylococcus aureus"
"798","genderm",0.147,0.027,0,1.158,"ertapenem","Staphylococcus aureus"
"799","key_sourcegastro",0.114,0.093,0.221,1.121,"ertapenem","Staphylococcus aureus"
"800","key_sourcerespiratory",0.299,0.048,0,1.348,"ertapenem","Staphylococcus aureus"
"801","key_sourceurine",0.249,0.081,0.002,1.283,"ertapenem","Staphylococcus aureus"
"802","key_sourcewound",0.053,0.044,0.227,1.054,"ertapenem","Staphylococcus aureus"
"803","year_scaled",0.12,0.027,0,1.127,"ertapenem","Staphylococcus aureus"
"804","0|1",-6.529,0.431,0,0.001,"ertapenem","Staphylococcus aureus"
"805","age_group0 to 2 Years",-0.144,0.028,0,0.866,"erythromycin","Staphylococcus aureus"
"806","age_group3 to 12 Years",-0.24,0.028,0,0.787,"erythromycin","Staphylococcus aureus"
"807","age_group13 to 18 Years",-0.129,0.035,0,0.879,"erythromycin","Staphylococcus aureus"
"808","age_group65 to 84 Years",0.159,0.014,0,1.172,"erythromycin","Staphylococcus aureus"
"809","age_group85 and Over",0.227,0.024,0,1.254,"erythromycin","Staphylococcus aureus"
"810","genderm",0.04,0.012,0.001,1.041,"erythromycin","Staphylococcus aureus"
"811","key_sourceblood",0.019,0.027,0.475,1.019,"erythromycin","Staphylococcus aureus"
"812","key_sourcegastro",0.168,0.043,0,1.183,"erythromycin","Staphylococcus aureus"
"813","key_sourcerespiratory",0.389,0.023,0,1.475,"erythromycin","Staphylococcus aureus"
"814","key_sourceurine",0.037,0.038,0.331,1.038,"erythromycin","Staphylococcus aureus"
"815","key_sourcewound",0.033,0.022,0.13,1.034,"erythromycin","Staphylococcus aureus"
"816","year_scaled",-0.053,0.002,0,0.948,"erythromycin","Staphylococcus aureus"
"817","age_group0 to 2 Years",0.014,0.026,0.595,1.014,"gentamicin","Staphylococcus aureus"
"818","age_group3 to 12 Years",-0.041,0.027,0.139,0.96,"gentamicin","Staphylococcus aureus"
"819","age_group13 to 18 Years",-0.018,0.035,0.604,0.982,"gentamicin","Staphylococcus aureus"
"820","age_group65 to 84 Years",0.027,0.015,0.063,1.027,"gentamicin","Staphylococcus aureus"
"821","age_group85 and Over",-0.04,0.026,0.13,0.961,"gentamicin","Staphylococcus aureus"
"822","genderm",0.009,0.013,0.451,1.009,"gentamicin","Staphylococcus aureus"
"823","key_sourceblood",0.149,0.024,0,1.161,"gentamicin","Staphylococcus aureus"
"824","key_sourcegastro",-0.047,0.051,0.35,0.954,"gentamicin","Staphylococcus aureus"
"825","key_sourcerespiratory",0.094,0.023,0,1.098,"gentamicin","Staphylococcus aureus"
"826","key_sourceurine",-0.044,0.044,0.316,0.957,"gentamicin","Staphylococcus aureus"
"827","key_sourcewound",-0.085,0.021,0,0.918,"gentamicin","Staphylococcus aureus"
"828","year_scaled",0.022,0.003,0,1.022,"gentamicin","Staphylococcus aureus"
"829","age_group0 to 2 Years",-0.452,0.02,0,0.636,"levofloxacin","Staphylococcus aureus"
"830","age_group3 to 12 Years",-0.484,0.02,0,0.616,"levofloxacin","Staphylococcus aureus"
"831","age_group13 to 18 Years",-0.389,0.025,0,0.678,"levofloxacin","Staphylococcus aureus"
"832","age_group65 to 84 Years",0.391,0.01,0,1.478,"levofloxacin","Staphylococcus aureus"
"833","age_group85 and Over",0.708,0.019,0,2.03,"levofloxacin","Staphylococcus aureus"
"834","genderm",0.057,0.009,0,1.059,"levofloxacin","Staphylococcus aureus"
"835","key_sourceblood",-0.028,0.017,0.098,0.972,"levofloxacin","Staphylococcus aureus"
"836","key_sourcegastro",-0.116,0.026,0,0.891,"levofloxacin","Staphylococcus aureus"
"837","key_sourcerespiratory",0.288,0.015,0,1.334,"levofloxacin","Staphylococcus aureus"
"838","key_sourceurine",0.528,0.029,0,1.695,"levofloxacin","Staphylococcus aureus"
"839","key_sourcewound",0.058,0.014,0,1.06,"levofloxacin","Staphylococcus aureus"
"840","year_scaled",-0.018,0.001,0,0.982,"levofloxacin","Staphylococcus aureus"
"841","age_group0 to 2 Years",0.1,0.029,0,1.106,"linezolid","Staphylococcus aureus"
"842","age_group3 to 12 Years",0.064,0.029,0.027,1.066,"linezolid","Staphylococcus aureus"
"843","age_group13 to 18 Years",0.064,0.036,0.072,1.067,"linezolid","Staphylococcus aureus"
"844","age_group65 to 84 Years",-0.06,0.014,0,0.942,"linezolid","Staphylococcus aureus"
"845","age_group85 and Over",-0.064,0.024,0.009,0.938,"linezolid","Staphylococcus aureus"
"846","genderm",-0.023,0.012,0.055,0.977,"linezolid","Staphylococcus aureus"
"847","key_sourceblood",0.209,0.023,0,1.233,"linezolid","Staphylococcus aureus"
"848","key_sourcegastro",0.052,0.034,0.122,1.053,"linezolid","Staphylococcus aureus"
"849","key_sourcerespiratory",-0.049,0.021,0.02,0.952,"linezolid","Staphylococcus aureus"
"850","key_sourceurine",-0.206,0.037,0,0.814,"linezolid","Staphylococcus aureus"
"851","key_sourcewound",0.008,0.02,0.683,1.008,"linezolid","Staphylococcus aureus"
"852","year_scaled",-0.007,0.001,0,0.993,"linezolid","Staphylococcus aureus"
"853","age_group0 to 2 Years",-0.308,0.026,0,0.735,"meropenem","Staphylococcus aureus"
"854","age_group3 to 12 Years",-0.341,0.026,0,0.711,"meropenem","Staphylococcus aureus"
"855","age_group13 to 18 Years",-0.276,0.032,0,0.759,"meropenem","Staphylococcus aureus"
"856","age_group65 to 84 Years",0.313,0.013,0,1.367,"meropenem","Staphylococcus aureus"
"857","age_group85 and Over",0.526,0.022,0,1.692,"meropenem","Staphylococcus aureus"
"858","genderm",0.102,0.011,0,1.108,"meropenem","Staphylococcus aureus"
"859","key_sourceblood",-0.078,0.021,0,0.925,"meropenem","Staphylococcus aureus"
"860","key_sourcegastro",0.052,0.028,0.067,1.053,"meropenem","Staphylococcus aureus"
"861","key_sourcerespiratory",0.356,0.019,0,1.427,"meropenem","Staphylococcus aureus"
"862","key_sourceurine",0.296,0.034,0,1.344,"meropenem","Staphylococcus aureus"
"863","key_sourcewound",0.108,0.017,0,1.114,"meropenem","Staphylococcus aureus"
"864","year_scaled",-0.004,0.002,0.046,0.996,"meropenem","Staphylococcus aureus"
"865","age_group0 to 2 Years",-0.256,0.027,0,0.774,"minocycline","Staphylococcus aureus"
"866","age_group3 to 12 Years",-0.223,0.027,0,0.8,"minocycline","Staphylococcus aureus"
"867","age_group13 to 18 Years",-0.057,0.033,0.085,0.945,"minocycline","Staphylococcus aureus"
